아파트,법정동,전용면적,거래금액,건축년도,층,거래년,거래월,거래일
송도오션파크베르디움,송도동,84.795,"65,200",2020,11,2024,1,18
송도더샵마스터뷰22BL,송도동,84.92,"81,000",2015,2,2024,1,30
연수대우.삼환,동춘동,90.18,"40,000",1994,8,2024,1,24
송도푸르지오월드마크1단지,송도동,197.821,"175,000",2010,20,2024,1,13
송도오션파크베르디움,송도동,84.9128,"67,000",2020,31,2024,1,20
송도아트윈푸르지오,송도동,84.98,"72,000",2015,43,2024,1,10
송도오션파크베르디움,송도동,75.9833,"60,000",2020,38,2024,1,6
자이(xi),동춘동,95.55,"37,000",1993,10,2024,1,30
동남,동춘동,52.14,"22,000",1994,15,2024,1,29
태평2,동춘동,84.975,"30,000",1995,4,2024,1,30
"연수타운(금호,동아)",동춘동,101.97,"42,500",1993,16,2024,1,6
송도더샵하버뷰(D15),송도동,119.4815,"120,000",2012,9,2024,1,15
현대4,옥련동,59.985,"24,200",1997,1,2024,1,23
"승기마을,연수1차시영",연수동,26.82,"12,000",1992,7,2024,1,20
힐스테이트레이크송도1차,송도동,84.92,"70,500",2019,28,2024,1,17
현대5,옥련동,59.985,"26,000",1997,13,2024,1,10
쌍용,옥련동,59.78,"27,950",1998,20,2024,1,18
더샵엑스포10단지,송도동,115.0662,"89,500",2009,15,2024,1,16
힐스테이트레이크송도2차,송도동,84.96,"73,500",2020,26,2024,1,20
한양1,동춘동,88.86,"36,500",1994,7,2024,1,20
한양1,동춘동,101.9,"45,000",1994,12,2024,1,20
삼성,옥련동,59.98,"25,500",1996,16,2024,1,25
더샵송도센터니얼,송도동,84.98,"80,000",2023,27,2024,1,29
대우1,연수동,127.89,"45,700",1992,15,2024,1,14
성일,연수동,39.74,"15,900",1994,4,2024,1,25
힐스테이트레이크송도1차,송도동,84.93,"70,500",2019,28,2024,1,17
"승기마을,연수1차시영",연수동,26.82,"11,500",1992,2,2024,1,22
주공3,연수동,44.66,"16,500",1993,10,2024,1,16
"승기마을,연수1차시영",연수동,26.82,"13,000",1992,9,2024,1,29
e편한세상송도,송도동,70.5618,"50,000",2018,6,2024,1,27
송도오션파크베르디움,송도동,75.9833,"60,000",2020,5,2024,1,27
뉴서울,선학동,84.53,"33,000",1992,4,2024,1,8
태산,연수동,84.56,"35,000",1993,11,2024,1,20
더샵그린스퀘어,송도동,115.7688,"97,000",2014,12,2024,1,22
뉴서울,선학동,84.53,"32,500",1992,7,2024,1,22
글로벌캠퍼스푸르지오,송도동,115.98,"83,000",2013,10,2024,1,9
성일,연수동,39.74,"16,000",1994,5,2024,1,10
솔밭마을아파트,연수동,49.56,"21,900",1993,10,2024,1,22
베르디움더퍼스트,송도동,84.9572,"67,000",2017,5,2024,1,27
아주,선학동,84.06,"29,000",1992,8,2024,1,24
송도에듀포레푸르지오,송도동,72.253,"66,000",2016,16,2024,1,29
한양2,동춘동,68.36,"33,800",1994,5,2024,1,19
더샵송도마리나베이,송도동,84.9766,"80,000",2020,8,2024,1,13
송도더샵센트럴시티,송도동,72.99,"71,000",2018,6,2024,1,23
송도더샵센트럴시티,송도동,59.99,"62,700",2018,43,2024,1,16
우성2,연수동,59.59,"33,800",1994,10,2024,1,13
대림3,동춘동,53.01,"18,300",1993,5,2024,1,21
우성2,연수동,59.59,"31,500",1994,9,2024,1,24
송도더샵센트럴시티,송도동,84.97,"80,000",2018,27,2024,1,27
송도더샵마스터뷰21BL,송도동,84.92,"68,000",2015,6,2024,1,23
더샵엑스포6단지,송도동,99.3121,"78,000",2009,7,2024,1,6
무지개마을,동춘동,59.76,"29,500",1995,6,2024,1,15
한화포레나인천연수,선학동,84.9988,"50,500",2023,1,2024,1,29
무지개마을,동춘동,84.965,"38,500",1995,1,2024,1,15
현대2차아파트,옥련동,59.985,"25,000",1995,20,2024,1,7
시대,청학동,35.743,"16,900",1994,15,2024,1,24
시대,청학동,49.585,"19,000",1994,2,2024,1,25
대동,연수동,52.14,"29,000",1993,7,2024,1,20
송도아트윈푸르지오,송도동,84.98,"71,700",2015,15,2024,1,21
우성2,연수동,59.59,"33,900",1994,10,2024,1,8
더샵그린스퀘어,송도동,115.7688,"107,000",2014,42,2024,1,20
풍림2,동춘동,45.36,"25,600",1993,10,2024,1,21
한양2,동춘동,68.36,"35,000",1994,5,2024,1,22
주공3,연수동,44.66,"18,000",1993,14,2024,1,5
대동,동춘동,75.255,"30,500",1994,5,2024,1,20
럭키송도,옥련동,101.49,"39,500",1993,11,2024,1,13
성일,연수동,59.75,"23,900",1994,11,2024,1,5
삼성,옥련동,84.97,"30,600",1996,5,2024,1,20
솔밭마을아파트,연수동,49.56,"20,500",1993,13,2024,1,11
"승기마을,연수1차시영",연수동,26.82,"12,000",1992,9,2024,1,13
건영,동춘동,84.945,"34,000",1994,1,2024,1,16
송도에듀포레푸르지오,송도동,59.859,"55,000",2016,10,2024,1,4
성일,연수동,59.75,"28,500",1994,11,2024,1,10
서해,청학동,84.89,"34,300",1993,8,2024,1,2
송도더샵파크애비뉴,송도동,84.51,"115,000",2018,24,2024,1,2
베르디움더퍼스트,송도동,63.9487,"59,000",2017,5,2024,1,11
랜드마크시티센트럴더샵,송도동,84.9999,"66,000",2020,35,2024,1,8
더샵센트럴파크2,송도동,146.5057,"215,000",2011,29,2024,1,16
럭키송도,옥련동,68.61,"23,950",1993,5,2024,1,13
현대3,옥련동,84.6,"36,000",1996,19,2024,1,24
송도아트윈푸르지오,송도동,84.98,"70,000",2015,33,2024,1,18
송도파크자이,동춘동,84.8904,"53,000",2019,9,2024,1,17
연수서해그랑블1단지,동춘동,70.75,"42,500",2017,17,2024,1,23
대림,연수동,84.795,"40,500",1993,14,2024,1,20
송도더샵센트럴시티,송도동,59.97,"62,500",2018,26,2024,1,6
경남,연수동,84.935,"34,000",1993,10,2024,1,15
대림3,동춘동,53.01,"15,000",1993,1,2024,1,22
경남,연수동,84.935,"34,000",1993,10,2024,1,15
송도웰카운티2단지,송도동,101.69,"75,000",2007,8,2024,1,16
송도센트럴파크푸르지오,송도동,84.9238,"87,500",2015,25,2024,1,17
송도SKVIEW,송도동,84.6932,"69,000",2019,8,2024,1,6
송도코오롱더프라우3단지,송도동,142.657,"82,000",2012,11,2024,1,13
호반써밋송도,송도동,84.7005,"62,700",2023,37,2024,1,2
무지개마을,동춘동,59.76,"28,500",1995,7,2024,1,20
뉴서울,선학동,126.89,"35,000",1992,2,2024,1,22
솔밭마을아파트,연수동,49.56,"22,200",1993,7,2024,1,2
송도더샵퍼스트파크F13-1BL,송도동,68.72,"78,000",2017,27,2024,1,17
힐스테이트레이크송도3차,송도동,84.88,"82,963",2023,11,2024,1,23
더샵그린스퀘어,송도동,115.7688,"94,500",2014,26,2024,1,13
솔밭마을아파트,연수동,49.56,"21,000",1993,15,2024,1,3
대동,연수동,52.14,"25,300",1993,6,2024,1,16
더샵엑스포10단지,송도동,116.3387,"83,500",2009,21,2024,1,2
영남,연수동,84.8,"28,000",1992,3,2024,1,10
시대,청학동,35.743,"16,850",1994,4,2024,1,19
한양2,동춘동,68.36,"33,800",1994,5,2024,1,19
송도오션파크베르디움,송도동,84.847,"64,500",2020,33,2024,1,20
동남,동춘동,52.14,"22,300",1994,12,2024,1,20
청학국민,청학동,52.41,"17,400",1984,2,2024,1,11
윤성,선학동,84.93,"27,000",1995,12,2024,1,20
성지리벨루스,송도동,84.914,"58,700",2006,15,2024,1,21
송도자이하버뷰2단지,송도동,148.612,"135,000",2011,13,2024,1,19
"연수타운(금호,동아)",동춘동,101.97,"43,600",1993,6,2024,1,16
시대,청학동,35.743,"16,600",1994,4,2024,1,20
"승기마을,연수1차시영",연수동,26.82,"11,000",1992,11,2024,1,12
랜드마크시티센트럴더샵,송도동,84.9999,"70,800",2020,37,2024,1,9
서해,옥련동,59.885,"23,500",1995,16,2024,1,20
e편한세상송도,송도동,70.5618,"57,000",2018,25,2024,1,10
아이파크송도,송도동,84.4945,"65,000",2005,7,2024,1,18
연수서해그랑블1단지,동춘동,70.77,"43,500",2017,11,2024,1,18
솔밭마을아파트,연수동,49.56,"21,900",1993,14,2024,1,18
연수푸르지오3단지,연수동,110.01,"41,000",2011,17,2024,1,13
용담마을,청학동,49.995,"20,000",1994,4,2024,1,12
송도파크자이,동춘동,76.7563,"48,000",2019,2,2024,1,15
솔밭마을아파트,연수동,49.56,"20,700",1993,9,2024,1,13
서해그랑블포레스트,동춘동,59.8632,"39,000",2019,4,2024,1,19
송도오션파크베르디움,송도동,84.9128,"64,000",2020,27,2024,1,9
더샵송도마리나베이,송도동,84.9766,"83,000",2020,15,2024,1,17
현대1,동춘동,84.97,"46,000",1993,1,2024,1,18
"승기마을,연수1차시영",연수동,26.82,"12,000",1992,3,2024,1,4
롯데캐슬,송도동,110.253,"77,500",2012,5,2024,1,13
동남,동춘동,52.14,"21,600",1994,10,2024,1,9
송도파크레인동일하이빌,동춘동,84.9044,"50,700",2019,11,2024,1,8
우성1,연수동,101.97,"42,500",1994,5,2024,1,7
하나타운1,청학동,59.79,"25,200",1995,2,2024,1,13
송도웰카운티1단지,송도동,134.99,"73,000",2008,5,2024,1,12
e편한세상송도,송도동,70.5618,"58,000",2018,34,2024,1,3
현대1,옥련동,59.4,"19,600",1994,9,2024,1,18
성호,청학동,84.02,"38,000",1993,10,2024,1,14
용담마을,청학동,49.995,"19,000",1994,5,2024,1,6
우성1,연수동,133.623,"53,700",1994,20,2024,1,4
e편한세상송도,송도동,70.5618,"50,000",2018,17,2024,1,17
대림3,동춘동,53.01,"20,000",1993,3,2024,1,15
인천연수서해그랑블3단지,동춘동,59.9628,"37,500",2019,3,2024,1,4
베르디움더퍼스트,송도동,63.9487,"56,000",2017,11,2024,1,14
우성2,연수동,40.5,"20,000",1994,17,2024,1,8
동춘마을,동춘동,59.36,"25,600",1994,2,2024,1,7
삼용,청학동,84.96,"38,800",1994,11,2024,1,3
송도푸르지오월드마크7단지,송도동,156.854,"89,000",2010,13,2024,1,14
송도더샵센트럴시티,송도동,59.97,"60,000",2018,33,2024,1,6
베르디움더퍼스트,송도동,84.993,"69,000",2017,6,2024,1,11
"승기마을,연수1차시영",연수동,50.67,"19,000",1992,6,2024,1,10
송도SKVIEW,송도동,84.6541,"71,500",2019,12,2024,1,11
동남,동춘동,52.14,"23,500",1994,11,2024,1,12
송도풍림아이원1단지,송도동,84.7167,"54,000",2005,2,2024,1,10
e편한세상송도,송도동,70.5618,"57,500",2018,18,2024,1,7
송도풍림아이원3단지,송도동,84.94,"57,500",2005,14,2024,1,13
송도아메리칸타운아이파크,송도동,64.168,"62,500",2018,41,2024,1,6
동남,동춘동,52.14,"23,000",1994,10,2024,1,11
연수서해그랑블1단지,동춘동,70.77,"44,000",2017,15,2024,1,15
럭키송도,옥련동,101.49,"34,900",1993,10,2024,1,11
럭키송도,옥련동,68.61,"25,750",1993,17,2024,1,8
연수주공2차,연수동,49.94,"18,850",1992,14,2024,1,5
우성2,연수동,59.59,"32,000",1994,17,2024,1,13
영남,연수동,84.8,"28,000",1992,3,2024,1,10
영남,연수동,84.8,"30,000",1992,4,2024,1,13
e편한세상송도,송도동,70.2331,"56,300",2018,35,2024,1,14
디에트르송도시그니처뷰,송도동,84.9523,"76,490",2023,44,2024,1,8
송도자이하버뷰2단지,송도동,147.655,"139,000",2011,7,2024,1,10
송도SKVIEW,송도동,84.6541,"69,500",2019,22,2024,1,6
송도더샵퍼스트파크F15BL,송도동,84.9,"107,000",2017,43,2024,1,13
송도한진해모로,송도동,84.9574,"59,990",2006,11,2024,1,6
현대3,옥련동,84.6,"34,000",1996,8,2024,1,3
풍림1,연수동,84.96,"34,500",1992,10,2024,1,13
우성2,연수동,59.59,"34,200",1994,6,2024,1,7
송도아메리칸타운아이파크,송도동,64.168,"62,500",2018,41,2024,1,5
대동,동춘동,75.255,"28,000",1994,2,2024,1,5
연수서해그랑블1단지,동춘동,70.75,"40,000",2017,10,2024,1,10
래미안,동춘동,95.76,"37,800",1993,12,2024,1,7
송도더샵센트럴시티,송도동,59.97,"61,000",2018,3,2024,1,4
해모로월드뷰,송도동,84.8507,"74,000",2012,25,2024,1,5
풍림2,동춘동,45.36,"25,500",1993,7,2024,1,9
풍림2,동춘동,84.22,"43,000",1993,9,2024,1,10
아주,동춘동,84.78,"29,500",1994,3,2024,1,11
대우1,연수동,101.76,"45,000",1992,4,2024,1,11
"태산,대진.정광아파트",선학동,64.38,"18,900",1991,6,2024,1,10
베르디움더퍼스트,송도동,84.9572,"69,300",2017,30,2024,1,3
e편한세상송도,송도동,70.5618,"56,000",2018,29,2024,1,10
풍림2,동춘동,84.22,"38,000",1993,5,2024,1,9
영남송도,옥련동,58.32,"18,000",1984,1,2024,1,6
송도더샵그린워크3차(18-1블럭),송도동,99.6,"95,000",2015,23,2024,1,9
현대1,동춘동,84.97,"45,000",1993,2,2024,1,7
연수주공2차,연수동,49.94,"19,300",1992,13,2024,1,9
동남,동춘동,52.14,"22,300",1994,9,2024,1,4
문남마을,연수동,49.24,"19,000",1994,4,2024,1,2
송도한진해모로,송도동,84.1224,"60,000",2006,2,2024,1,6
시대,청학동,49.585,"22,800",1994,13,2024,1,3
송도대경스위트리아파크뷰,송도동,46.6,"38,300",2021,8,2024,1,6
풍림1,연수동,84.96,"35,800",1992,12,2024,1,6
베르디움더퍼스트,송도동,74.5812,"64,700",2017,14,2024,1,6
송도풍림아이원1단지,송도동,84.7167,"54,500",2005,13,2024,1,5
쌍용,옥련동,84.98,"36,000",1998,1,2024,1,5
백산2,옥련동,59.98,"22,500",1997,5,2024,1,4
동남,동춘동,52.14,"22,950",1994,5,2024,1,4
쌍용,옥련동,84.98,"36,000",1998,1,2024,1,3
래미안,동춘동,95.76,"34,000",1993,2,2024,1,2
대동,선학동,84.4,"25,000",1992,1,2024,1,2
송도에듀포레푸르지오,송도동,72.253,"65,300",2016,3,2024,1,3
경남,연수동,70.28,"32,500",1993,12,2024,1,2
송도풍림아이원2단지,송도동,84.94,"52,500",2005,8,2024,1,2
더샵센트럴파크2,송도동,146.9993,"194,000",2011,22,2024,2,28
더샵그린스퀘어,송도동,98.2428,"80,000",2014,6,2024,2,24
더샵그린워크1차,송도동,84.3408,"76,700",2014,23,2024,2,1
힐스테이트레이크송도2차,송도동,84.96,"66,000",2020,2,2024,2,6
더샵송도마리나베이,송도동,74.9894,"68,500",2020,32,2024,2,8
더샵센트럴파크2,송도동,146.9993,"194,000",2011,22,2024,2,28
송도더샵하버뷰(D15),송도동,151.6007,"159,000",2012,17,2024,2,25
송도더샵하버뷰(D15),송도동,151.6007,"159,000",2012,23,2024,2,25
용담마을,청학동,49.995,"21,000",1994,5,2024,2,23
경남,연수동,70.28,"30,000",1993,6,2024,2,29
더샵그린스퀘어,송도동,98.2428,"84,500",2014,42,2024,2,29
연수주공2차,연수동,49.94,"20,000",1992,10,2024,2,24
송도자이하버뷰2단지,송도동,101.7,"89,000",2011,13,2024,2,23
더샵엑스포10단지,송도동,128.4673,"88,000",2009,6,2024,2,24
성호,청학동,84.02,"37,900",1993,1,2024,2,24
풍림,옥련동,44.4,"19,000",1998,8,2024,2,29
롯데캐슬캠퍼스타운,송도동,101.3056,"85,000",2016,8,2024,2,27
송도한진해모로,송도동,84.9574,"55,000",2006,1,2024,2,7
