아파트,법정동,전용면적,거래금액,건축년도,층,거래년,거래월,거래일,거래금액_숫자,전용면적_숫자,층_숫자,건축년도_숫자,평수,평당가격,건물연령,거래일자
동남,동춘동,52.14,"23,000",1994,10,2024,1,11,23000.0,52.14,10,1994,15.77235,1458.248136770995,30,2024-01-11
연수서해그랑블1단지,동춘동,70.77,"44,000",2017,15,2024,1,15,44000.0,70.77,15,2017,21.407925,2055.3136280139247,7,2024-01-15
럭키송도,옥련동,101.49,"34,900",1993,10,2024,1,11,34900.0,101.49,10,1993,30.700725,1136.7809717848684,31,2024-01-11
럭키송도,옥련동,68.61,"25,750",1993,17,2024,1,8,25750.0,68.61,17,1993,20.754524999999997,1240.6932945947933,31,2024-01-08
연수주공2차,연수동,49.94,"18,850",1992,14,2024,1,5,18850.0,49.94,14,1992,15.10685,1247.7783257264089,32,2024-01-05
우성2,연수동,59.59,"32,000",1994,17,2024,1,13,32000.0,59.59,17,1994,18.025975,1775.2160424054732,30,2024-01-13
영남,연수동,84.8,"28,000",1992,3,2024,1,10,28000.0,84.8,3,1992,25.651999999999997,1091.532823951349,32,2024-01-10
영남,연수동,84.8,"30,000",1992,4,2024,1,13,30000.0,84.8,4,1992,25.651999999999997,1169.499454233588,32,2024-01-13
e편한세상송도,송도동,70.2331,"56,300",2018,35,2024,1,14,56300.0,70.2331,35,2018,21.245512749999996,2649.971345125573,6,2024-01-14
디에트르송도시그니처뷰,송도동,84.9523,"76,490",2023,44,2024,1,8,76490.0,84.9523,44,2023,25.698070749999996,2976.4880307211392,1,2024-01-08
송도SKVIEW,송도동,84.6541,"69,500",2019,22,2024,1,6,69500.0,84.6541,22,2019,25.60786525,2714.0099075615058,5,2024-01-06
송도더샵퍼스트파크F15BL,송도동,84.9,"107,000",2017,43,2024,1,13,107000.0,84.9,43,2017,25.68225,4166.301628556688,7,2024-01-13
송도한진해모로,송도동,84.9574,"59,990",2006,11,2024,1,6,59990.0,84.9574,11,2006,25.6996135,2334.276350109312,18,2024-01-06
현대3,옥련동,84.6,"34,000",1996,8,2024,1,3,34000.0,84.6,8,1996,25.591499999999996,1328.5661254713482,28,2024-01-03
풍림1,연수동,84.96,"34,500",1992,10,2024,1,13,34500.0,84.96,10,1992,25.7004,1342.391558108045,32,2024-01-13
우성2,연수동,59.59,"34,200",1994,6,2024,1,7,34200.0,59.59,6,1994,18.025975,1897.2621453208496,30,2024-01-07
송도아메리칸타운아이파크,송도동,64.168,"62,500",2018,41,2024,1,5,62500.0,64.168,41,2018,19.41082,3219.853669242206,6,2024-01-05
대동,동춘동,75.255,"28,000",1994,2,2024,1,5,28000.0,75.255,2,1994,22.7646375,1229.977854907639,30,2024-01-05
연수서해그랑블1단지,동춘동,70.75,"40,000",2017,10,2024,1,10,40000.0,70.75,10,2017,21.401875,1868.9951230908507,7,2024-01-10
래미안,동춘동,95.76,"37,800",1993,12,2024,1,7,37800.0,95.76,12,1993,28.9674,1304.9151805132665,31,2024-01-07
송도더샵센트럴시티,송도동,59.97,"61,000",2018,3,2024,1,4,61000.0,59.97,3,2018,18.140925,3362.5628241117806,6,2024-01-04
해모로월드뷰,송도동,84.8507,"74,000",2012,25,2024,1,5,74000.0,84.8507,25,2012,25.66733675,2883.0416151375734,12,2024-01-05
풍림2,동춘동,45.36,"25,500",1993,7,2024,1,9,25500.0,45.36,7,1993,13.7214,1858.4109493200403,31,2024-01-09
풍림2,동춘동,84.22,"43,000",1993,9,2024,1,10,43000.0,84.22,9,1993,25.47655,1687.8266484276717,31,2024-01-10
아주,동춘동,84.78,"29,500",1994,3,2024,1,11,29500.0,84.78,3,1994,25.64595,1150.2790889009766,30,2024-01-11
대우1,연수동,101.76,"45,000",1992,4,2024,1,11,45000.0,101.76,4,1992,30.7824,1461.874317791985,32,2024-01-11
"태산,대진.정광아파트",선학동,64.38,"18,900",1991,6,2024,1,10,18900.0,64.38,6,1991,19.47495,970.4774595056726,33,2024-01-10
베르디움더퍼스트,송도동,84.9572,"69,300",2017,30,2024,1,3,69300.0,84.9572,30,2017,25.699552999999998,2696.5449554706265,7,2024-01-03
e편한세상송도,송도동,70.5618,"56,000",2018,29,2024,1,10,56000.0,70.5618,29,2018,21.3449445,2623.5720594166924,6,2024-01-10
